time	queue_2	queue_4		psql_1	psql_3
0	1	5		4258.084	5737.858
5	8	51		4068.852	5489.02
10	18	97		3960.295	5391.844
15	26	143		4088.226	5516.553
20	32	186		3983.255	5686.528
25	41	231		4017.665	5565.77
30	87	280		4168.252	5443.017
35	78.71428571	326.3333333		4179.36	5521.399
40	90.78571429	388		4044.624	5436.062
45	102.8571429	428.5555556		3909.962	5178.801
50	114.9285714	476.984127		3967.204	5181.25
55	127	525.4126984		4069.337	5347.04
60	139.0714286	600		4040.319	5297.662
65	151.1428571	626.7142857		4048.124	5213.475
70	163.2142857	675.1648352		4026.958	5201.575
75	175.2857143	723.6153846		4040.061	5341.913
80	187.3571429	772.0659341		3956.038	5443.076
85	199.4285714	820.5164835		4029.394	5302.22
90	211.5	868.967033		3937.515	5309.068
95	223.5714286	917.4175824		4018.403	5338.341
100	235.6428571	965.8681319		4058.111	5329.682
105	247.7142857	1014.318681		4043.549	5424.796
110	259.7857143	1062.769231		3962.876	5301.09
115	271.8571429	1111.21978		3892.539	5300.761
120	275	1252		3949.925	5354.614
125	280	1224.276238		3985.492	5282.031
130	282	1273.738594		4014.789	5344.718
135	312.8766789	1323.200949		3951.75	5291.951
140	324.5640153	1372.663305		3974.784	5345.488
145	336.2513518	1422.12566		4027.248	5259.853
150	347.9386883	1471.588016		4077.884	5238.142
155	359.6260248	1521.050371		4119.261	5197.675
160	371.3133612	1570.512727		4080.554	5364.098
165	383.0006977	1619.975082		3978.766	5394.892
170	394.6880342	1669.437437		4093.831	5320.669
175	406.3753707	1718.899793		3953.761	5279.719
180	418.0627071	1940		3970.251	5169.107
185	429.7500436	1875.037121		3918.32	5222.891
190	441.4373801	1931.100932		4026.181	5227.921
195	453.1247166	1987.164744		3928.542	5290.908
200	464.812053	2043.228555		3992.667	5494.214
205	476.4993895	2099.292366		4086.532	5287.686
210	488.186726	2155.356178		4042.539	5206.653
215	499.8740624	2211.419989		4084.981	5327.557
220	511.5613989	2267.4838		3967.662	5310.051
225	523.2487354	2323.547611		4102.542	5390.512
230	534.9360719	2379.611423		4132.27	5247.198
235	546.6234083	2435.675234		3991.94	5296.781
240	558.3107448	2491.739045		4029.183	5305.19
245	569.9980813	2547.802857		4095.682	5301.072
250	575.6854178	2603.866668		3994.325	5275.096
255	583.3727542	2659.930479		3907.187	5413.449
260	594.0600907	2715.994291		4036.569	5317.792
265	601.1474272	2772.058102		3928.882	5324.078
270	602.3839235	2828.121913		4020.259	5374.741
275	605.3839235	2884.185724		4058.661	5486.984
280	608.3839235	2940.249536		4055.715	5405.242
285	612.0918687	2996.313347		4058.721	5378.214
290	618.7998139	3052.377158		3904.883	5364.713
295	625.5841095	3108.44097		3808.168	5384.453
300	632.0630037	3164.504781			
305	639	3220.568592			
310	514	3271			
315	389	3421			
320	264	3220			
325	139	3019			
330	14	2818			
335	0	2617			
340	0	2416			
345	0	2215			
350	0	2014			
355	0	1813			
360	0	1612			
365	0	1411			
370	0	1210			
375	0	1009			
380	0	808			
385	0	607			
390	0	406			
395	0	205			
400	0	4			
405	0	0			
