time	capture	replication  active
0	1523.635	1964.592	2448.865
5	2065.744	2127.792	2624.211
10	1497.124	1913.341	2545.13
15	1649.976	2209.197	2480.562
20	1776.983	1940.418	2106.857
25	1753.175	2263.406	2536.244
30	1702.577	2150.599	2524.36
35	1748.862	1991.379	2248.908
40	1926.568	1863.561	2462.188
45	1708.203	2084.717	2508.759
50	1509.975	2045.37	2308.315
55	1813.291	2007.548	2393.343
60	1620.828	2357.273	2558.827
65	1799.061	1830.437	2237.695
70	1593.956	3166.166	5011.261
75	1806.935	2861.471	5357.984
80	1689.722	2220.673	2237.695
85	1853.279	2562.17	5696.417
90	1631.723	2063.185	2237.695
95	1710.895	1642.77	2237.695
100	1674.406	1702.677	5966.683
105	1535.718	2546.155	5579.715
110	1774.256	2096.273	4134.115
115	1672.728	2109.246	2237.695
120	1782.273	1881.582	6202.143
125	1754.83	2005.783	2237.695
130	1593.244	1959.936	2237.695
135	1803.606	1788.068	3624.015
140	1647.047	2058.973	4842.773
145	1701.322	1838.63	2886.36
150	1783.643	1922.643	3047.541
155	1763.139	1900.724	2237.695
160	1608.129	1613.91	5545.995
165	1727.493	1959.624	2237.695
170	1724.021	1974.49	3631.486
175	1729.045	1832.425	2965.902
180	1674.956	1889.278	3149.675
185	1505.421	2103.438	3389.725
190	1735.097	1685.29	3004
195	1666.632	2121.523	5412.083
200	1766.15	1891.295	2237.695
205	1517.026	2352.611	2237.695
210	1638.861	1728.163	2456.112
215	1752.915	1601.613	2456.112
220	1559.673	2158.242	3439.529
225	1807.597	1782.883	2237.695
230	1823.958	2009.7	2549.189
235	1327.109	1354.341	2456.112
240	1898.49	1838.047	2259.09
245	1433.881	1858.023	1838.634
250	1844.692	2065.476	2351.722
255	1609.797	1840.393	6755.447
260	1731.279	1832.183	4283.284
265	1550.879	1978.073	2237.695
270	1647.209	1679.517	2265.215
275	1583.064	1902.466	2255.516
280	1909.315	1914.167	2256.163
285	1523.597	1781.752	3162.678
290	1759.358	1940.271	2444.203
295	424.388	1032.221	2704.292
